utt_num,speaker,xds,utterance,manual_morpheme_count
15724,UC3,U,0,NA
14804,FA1,C,<bam bam bam bam> = imitateshammer,4
12863,FA1,C,<do do do do do do do do do do do do do> = whispers,10
15627,UC1,C,<doo doo> = sings,2
8754,UC1,C,<ha la la la la> = sings,4
9483,FA1,C,<hot dog do do do do do do> = sings,9
7698,FA1,C,<la la la la la> = sings,4
11999,FA1,C,<la la la pa pa> = babbles,5
13392,MA1,C,<mm> = growls,1
15654,UC1,C,<mm> = hums,1
8704,UC1,A,<must be> = sings,2
4719,FC2,C,<oh oh oh oh> = sings,4
5616,MA2,A,<oh> = gasps,1
7016,MC2,B,<ra> = imitatescrying,1
8901,UC2,C,<rah> = imitatesdinosaur,1
13757,MA2,C,<rah> = imitatesseagulls,1
14396,FA1,C,<sh sh sh sh sh sh sh sh sh sh sh> = shushes,8
7815,FA1,C,<they all ran up to the farmers wife> = sings,9
3641,FC1,C,<wa oh oh> = sings,3
14285,FA1,A,<wa wa wa wa wa> = sings,5
11511,MA1,C,<whatever your name happens to be> = imitatesbritishaccent,8
11994,FA1,C,<where you going> = laughs,4
3668,FC1,C,<xxx back in> = sings,3
8582,FA1,C,<xxx do it> = sings,3
10524,FC1,C,<xxx indeed> = whispers,2
834,UC1,C,<xxx> = squeals,1
8661,UC1,A,<xxx> = whines,1
14694,FA1,A,<yeah yeah> = laughs,2
10829,FA1,C,<yeah> = imitates,1
14575,MA1,C,ah ba da ba da,5
729,FA1,A,and then I just couldnt get to them so we went to the yl,15
15572,FA3,A,and then the other one which he was nervous about Ihave no idea xxx,15
16655,FA1,A,anyways so no walking wise hes doing really good,14
12087,MA1,C,are you enjoying the anticipation Grace,8
11631,FA1,C,aw yoohoo,2
14322,FA1,C,come on then picklepops lets go,8
11262,FA1,C,do da do do do do,6
8913,UC2,C,do do do do,4
9861,FA2,C,do what,2
3587,FC1,C,do what oh oh again,5
711,FA1,C,do you have anything you want to talk about today,11
2473,FA1,C,does Mommy give Zachary xxx tummy,7
12613,FA1,C,doo doo doo ugh,4
15413,FA1,A,good <cus>  because Im gonna have the kids at my parents,14
15676,UC1,C,ha ha ha,1
8752,UC1,C,ha ha ha ha ha,1
6598,MC1,C,hah,1
8302,UC1,A,hm ah,2
16318,FA2,A,I cu I have like you can leave um,9
15203,FA2,A,I have pictured xxx thinking about it,9
10977,FA2,A,I thought he didnt dr drink anymore,8
14646,FA1,A,is it under I mean oh is it under that those papers on the counter did I,18
15477,FA1,A,its actually the guy that was um Donnys teacher,13
15806,MA1,A,its probably our fault because we started bouncing off the stairs,16
14949,UC1,O,its three oclock its <four oclock> = yells,9
3973,FA1,A,its you know its time,7
17044,FA1,A,just like it just needs it around the ears and in the back,15
13547,MA1,A,just xxx the uh,4
12665,FA1,A,kind of takes a morning nap <kinda>  kind of doesnt,11
410,FA1,A,like as long as youre not doing the xxx stuff I xxx it can,16
9724,FA1,A,like we were chasing each other through the tunnels,11
13647,MA1,B,Lilly likes these ones these are American cars,12
14801,FA1,C,listen to all the sounds of Sesame Street,9
9032,UC2,A,maybe <hers>  her is hungry,4
3892,FA1,A,maybe you could say it next time she sees the girls,13
8404,FA1,A,mile xxx,2
10778,FA1,C,MissusClause says we should set off tonight,9
12872,FA1,C,mm,1
15375,FA1,A,mm,1
3459,FC1,A,mm,1
16038,MA1,C,mm,1
2097,FA1,A,mm,1
9228,FA2,O,mm,1
630,FA1,C,mmhm,2
8402,FA1,A,mmhm,2
