paragraph_id,sentence_id,sentence,token_id,token,lemma,head_token_id,dep_rel,deps,misc,manual_temporality
845,1,okay alright come on,2,alright,alright,3,aux,NA,NA,displaced
303,1,they just just avoiding the whole situation,4,avoiding,avoid,0,root,NA,NA,present
777,1,<yeah baby> = imitates,3,baby,baby,0,root,NA,SpaceAfter=No,uncategorized
657,1,then the girls are all gonna get older,4,are,be,6,aux,NA,NA,displaced
917,1,yeah they definitely are going to question a little,4,are,be,5,aux,NA,NA,displaced
22,1,are you are you gonna take it downstairs for me,1,are,be,5,aux,NA,NA,displaced
483,1,are you gonna sell the house,1,are,be,3,aux,NA,NA,displaced
247,1,not all ducks are <gonna>,4,are,be,6,cop,NA,NA,displaced
1649,1,so are you planning on going to Laurenberg,2,are,be,4,aux,NA,NA,displaced
106,1,no youd be so stuffed,3,be,be,5,cop,NA,NA,displaced
605,1,Id be on one end,2,be,be,5,cop,NA,NA,displaced
77,1,been there its a straight shot,1,been,be,2,cop,NA,NA,displaced
961,1,its been a while,2,been,be,4,cop,NA,NA,displaced
1101,1,her contacts been bothering her all day,3,been,be,4,aux,NA,NA,displaced
1245,1,Im gonna play some keys,2,m,be,3,aux,NA,NA,displaced
815,1,Im <gon>,2,m,be,4,aux,NA,NA,displaced
330,2,Im going to show you something,2,m,be,3,aux,NA,NA,displaced
451,1,Im gonna lift you up baby,2,m,be,3,aux,NA,NA,displaced
47,2,Im gonna put my guitar up,2,m,be,3,aux,NA,NA,displaced
1159,2,Im gonna pour the water in,2,m,be,3,aux,NA,NA,displaced
504,1,well thats what I was just saying to her earlier,3,s,be,4,cop,NA,NA,displaced
78,1,because that that was just cicada killer and its not gonna hurt you,4,was,be,7,cop,NA,NA,displaced
1692,1,oh my goodness what a great wave that was,9,was,be,7,cop,NA,SpacesAfter=\n,displaced
383,1,that I was leaving =laughs,3,was,be,4,aux,NA,NA,displaced
861,1,and he was doing that and the cabinet door um kind of closed abrubtly and um,3,was,be,4,aux,NA,NA,displaced
581,1,it was,2,was,be,0,root,NA,SpacesAfter=\n,displaced
551,1,<BillieJean was not my lover oh> = sings,3,was,be,6,cop,NA,NA,displaced
851,1,it was like,2,was,be,3,cop,NA,NA,displaced
1306,1,and he was like,3,was,be,4,cop,NA,NA,displaced
225,1,what was that,2,was,be,0,root,NA,NA,displaced
393,1,<whose name was Tiny Tim> = sings,4,was,be,6,cop,NA,NA,displaced
148,1,Daddy how was your day,3,was,be,5,cop,NA,NA,displaced
182,1,well my xxx was saying that before he came out and I xxx,4,was,be,5,aux,NA,NA,displaced
82,1,was she like its Marie not Maria,1,was,be,3,aux,NA,NA,displaced
1931,1,oh I was like hes like a famous person,3,was,be,5,cop,NA,NA,displaced
575,1,because I was like we have,3,was,be,0,root,NA,NA,displaced
752,1,but just as she was about to slink inside,5,was,be,6,cop,NA,NA,displaced
777,1,so like for him like there wasnt really,7,was,be,4,advcl,NA,SpaceAfter=No,displaced
604,1,maybe it was when we you thought you were hitting the timer yeah,3,was,be,0,root,NA,NA,displaced
288,1,we were by everything outside,2,were,be,4,cop,NA,NA,displaced
490,1,were gonna get some trouble right here,1,were,be,2,aux,NA,NA,displaced
705,1,were gonna make our way that way,1,were,be,2,aux,NA,NA,displaced
224,1,uh so we my husband and I were looking at each other like okay and then she,8,were,be,9,aux,NA,NA,displaced
502,1,three we were good and then when we were down at your moms for um chatting with Peg and stuff at like five o clock she like spit up a bunch of mucus but before I gave her her three o clock bottle I pulled off a bunch of hair xxx,3,were,be,4,cop,NA,NA,displaced
81,1,and if were very quiet now shell say it right away,3,were,be,5,cop,NA,NA,displaced
170,1,what you were doing,3,were,be,4,aux,NA,NA,displaced
1057,1,how were they,2,were,be,1,cop,NA,NA,displaced
1378,1,<long to be> = sings,4,be,be,7,cop,NA,SpaceAfter=No,displaced
524,1,<yeah be like> = laughs,3,be,be,4,cop,NA,NA,displaced
381,1,its just its really not and I cant control what my boss says I cant control the fact that I gave you notice,4,s,be,5,cop,NA,NA,displaced
544,1,were not going down there right now,1,were,be,3,aux,NA,NA,displaced
93,1,were actually going to the store right now,1,were,be,3,aux,NA,NA,displaced
123,1,and then were finished,3,were,be,4,aux:pass,NA,NA,displaced
1304,1,were gonna drive to Grandma Grandpas,1,were,be,2,aux,NA,NA,displaced
269,1,her being well you might not be that blind but pretty close,2,being,be,9,cop,NA,NA,displaced
1008,1,Im gonna eat it =gobbles,2,m,be,3,aux,NA,NA,displaced
320,1,but thankfully its not too long bad for too long,4,s,be,7,cop,NA,NA,displaced
800,1,xxx and then Im going to quit,5,m,be,6,aux,NA,NA,displaced
299,1,shes like Im not missing it,4,m,be,6,aux,NA,NA,displaced
1732,1,Im going to get it cleaned up,2,m,be,3,aux,NA,NA,displaced
930,1,well Im trying to go anyway,3,m,be,4,aux,NA,NA,displaced
251,1,yeah <cus> because she yeah <cus> because her mom is selling their,14,is,be,15,aux,NA,NA,displaced
119,1,is stand up and Ill show you,1,is,be,2,aux,NA,NA,displaced
1137,1,Im trying to remember what number my mother said,2,m,be,3,aux,NA,NA,displaced
1612,1,were going to set it on the stool over there and put it back on after nap,1,were,be,2,aux,NA,NA,displaced
1047,1,your swimming season is so much shorter unless you have a way to get to it,4,is,be,7,cop,NA,NA,displaced
569,1,anything thats gonna you know make it easier xxx,3,s,be,4,aux,NA,NA,displaced
230,1,it sometimes it is,4,is,be,0,root,NA,SpacesAfter=\n,present
153,1,although its not super max xxx,3,s,be,7,cop,NA,NA,present
343,1,<were getting our xxx were following so long for now from Mickey Mouse> = sings,2,were,be,3,aux,NA,NA,present
2,1,the way the record is going,5,is,be,6,aux,NA,NA,present
9,1,well there is this one,3,is,be,0,root,NA,NA,present
954,1,while this one here is,5,is,be,0,root,NA,SpacesAfter=\n,present
606,2,one is all gone yeah,2,is,be,4,cop,NA,NA,present
148,1,Im gonna get you,2,m,be,3,aux,NA,NA,present
128,1,Im gonna get you,2,m,be,3,aux,NA,NA,present
269,3,Im like,2,m,be,3,aux,NA,NA,present
1032,1,thats right thats what you fill xxx,4,s,be,5,cop,NA,NA,present
514,1,thats the best huh,2,s,be,5,cop,NA,NA,present
1226,1,but its better,3,s,be,4,cop,NA,NA,present
319,1,were super here in that water,1,were,be,3,cop,NA,NA,present
117,1,is like this tall and fat,1,is,be,4,cop,NA,NA,present
443,1,<of my world is in Miles> = sings,5,is,be,7,cop,NA,NA,present
7,1,<where is this> = whispers,3,is,be,2,cop,NA,NA,present
895,1,its up to eighty pounds is what it holds,6,is,be,7,cop,NA,NA,present
102,1,is the older one Mindys,1,is,be,5,cop,NA,NA,present
277,1,are you coming to find us Whitman,1,are,be,3,aux,NA,NA,present
487,1,are you getting hungry,1,are,be,3,aux,NA,NA,present
437,1,where are you <goin>,2,are,be,1,cop,NA,NA,present
1843,1,be then be thirsty,1,be,be,4,aux,NA,NA,present
243,1,I its over here extra larges,3,s,be,7,cop,NA,NA,present
381,1,Mommy its not fair,3,s,be,5,cop,NA,NA,present
611,1,oh thats funny,3,s,be,4,cop,NA,NA,present
159,1,yeah thats my coat yeah,3,s,be,5,cop,NA,NA,present
327,1,thats a gully,2,s,be,4,cop,NA,NA,present
836,1,alright were going to leave the wipes nope going to leave the wipes there we go,2,were,be,3,aux,NA,NA,present
839,1,nope were going to leave the wipes,2,were,be,3,aux,NA,NA,present
2478,1,why are we go,2,are,be,4,aux,NA,NA,present
714,1,fancy day xxx to be silly with this,5,be,be,6,cop,NA,NA,present
296,1,just be careful theres a baby I think in front of the door,2,be,be,3,cop,NA,NA,present
263,1,there you are,3,are,be,1,cop,NA,SpacesAfter=\n,present
267,1,those are the words,2,are,be,4,cop,NA,NA,present
1060,1,why are you in trouble,2,are,be,5,cop,NA,NA,present
1111,1,are those pants too small,1,are,be,5,cop,NA,NA,present
258,1,hey hey hey what are you doing,5,are,be,7,aux,NA,NA,present
185,1,are you making a big mess,1,are,be,3,aux,NA,NA,present
108,1,are these uh n no extra larges,1,are,be,3,cop,NA,NA,present
398,1,oh are they,2,are,be,1,cop,NA,NA,present
312,1,what are those hiding on the window sill,2,are,be,4,aux,NA,NA,present
320,1,what are you doing,2,are,be,4,aux,NA,NA,present
652,1,are you my,1,are,be,3,cop,NA,NA,present
72,1,those are Nannys glasses,2,are,be,4,cop,NA,NA,present
257,1,uh what are you doing,3,are,be,5,aux,NA,NA,present
229,1,ah what are you doing,3,are,be,5,aux,NA,NA,present
166,1,what are you doing xxx,2,are,be,4,aux,NA,NA,present
270,1,spiders are scary,2,are,be,3,cop,NA,NA,present
