"","doc_id","paragraph_id","sentence_id","sentence","temporality","manual_temporality","feats"
"1","VI_047_440",444,1,"I even signed this yesterday","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"2","VI_047_440",305,1,"whos this old guy","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"3","TD_443_341",672,1,"you know","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"4","TD_449_716",307,1,"Mommy will close this for you there you go","displaced","present","VerbForm=Fin"
"5","TD_467_433",544,1,"were not going down there right now","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"6","VI_047_440",456,1,"there you go xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"7","VI_037_868",248,1,"yep you put things on your head","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"8","TD_436_678",2103,1,"=cries","present",NA,"Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"9","TD_467_433",586,1,"can you just please just lay still for a second","displaced","uncategorized","VerbForm=Fin"
"10","TD_445_217",2478,1,"why are we go","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"11","TD_443_341",1176,1,"Mama does Landen xxx","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"12","TD_474_966",377,1,"what is that","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"13","VI_015_195",269,1,"her being well you might not be that blind but pretty close","present","displaced","VerbForm=Ger"
"14","VI_015_195",537,1,"shes growing like a weed","present","present","VerbForm=Ger"
"15","VI_033_820",1222,1,"bakerAker places the banana bread in a box and adds a purple ribbon","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"16","TD_473_844",306,1,"oh its easy","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"17","VI_014_242",344,1,"I promise this is the last time","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"18","VI_013_206",714,1,"okay Dad which color do you want","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"19","TD_463_254",39,1,"lets go lets go lets go lets go okay","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"20","TD_448_304",225,1,"what was that","displaced","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"21","VI_001_676",1242,1,"hey Im family","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"22","TD_448_304",249,1,"hey dont get his face","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"23","VI_002_336",836,1,"alright were going to leave the wipes nope going to leave the wipes there we go","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"24","VI_033_820",1108,1,"I forgot to do that before we started","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"25","TD_474_966",233,1,"what is that","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"26","TD_444_402",574,1,"I know <howda>","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"27","TD_436_678",2110,1,"=cries","present",NA,"Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"28","VI_014_242",49,1,"Max is trying to fool us all isnt he Dad","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"29","VI_008_707",1245,1,"Im gonna play some keys","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"30","TD_445_217",1345,1,"I dont have to unpack them","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"31","VI_015_195",425,1,"the second one said the xxx in the air","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"32","TD_477_217",534,1,"I want","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"33","TD_436_678",1532,2,"didnt you","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"34","TD_448_304",68,1,"and why do you xxx yourself","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"35","VI_013_206",1450,1,"yeah you hear Nana and <Gaga> grandpa","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"36","TD_445_217",1083,1,"you know with the the","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"37","VI_002_336",99,1,"walked into an Italian","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"38","VI_003_405",532,1,"alright well go walking","uncategorized","displaced","VerbForm=Inf"
"39","VI_003_405",833,1,"dont do it while Im there why you gotta do it like that","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"40","VI_012_562",612,1,"I dont know what to do with Whitman though","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"41","TD_465_541",191,1,"you did it","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"42","TD_448_304",416,1,"do","uncategorized","uncategorized","VerbForm=Inf"
"43","TD_467_433",72,1,"why did you toot at the table","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"44","VI_015_195",264,1,"it looks great thank you","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"45","VI_002_336",851,1,"it was like","displaced","displaced","Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin"
"46","VI_012_562",1095,1,"<they cant quite see it there> = whispers ready","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"47","VI_015_195",164,1,"my uncle Bill is like loves to tell stories","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"48","TD_449_716",107,1,"soon after dark upon the beach we sing our favorite oh sweetie","present","displaced","VerbForm=Ger"
"49","TD_447_448",580,1,"but in the middle of my half day off I had three lab visits","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"50","TD_463_254",45,1,"I want that","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"51","VI_047_440",330,1,"I love it","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"52","VI_012_562",277,1,"are you coming to find us Whitman","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"53","VI_012_562",1813,1,"he would want to get","displaced","displaced","VerbForm=Fin"
"54","TD_443_341",994,1,"I didnt really understand math until after I got out of school <cuz> because I started using it in the real world","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"55","VI_014_242",263,1,"there you are","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"56","TD_445_217",1243,1,"Mommy does not buy enough fruit for you guys","present","present","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin"
"57","VI_012_562",852,1,"so we just had like another one on Saturday where he he uh","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"58","VI_015_195",199,1,"I found your hair","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"59","TD_465_541",258,1,"<the itsy bitsy spider went up the spout again> = sings","displaced","displaced","Mood=Ind|Tense=Past|VerbForm=Fin"
"60","VI_012_562",339,1,"okay lets go","present","uncategorized","Mood=Ind|Tense=Pres|VerbForm=Fin"
"61","TD_473_844",408,2,"I love you sweetheart","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"62","VI_008_707",462,1,"I got his leg","displaced","present","Mood=Ind|Tense=Past|VerbForm=Fin"
"63","VI_047_440",22,1,"here we go are you ready to see more animals","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"64","VI_033_820",162,1,"I know","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"65","VI_014_242",97,1,"yeah you want a little xxx","present","present","Mood=Ind|Tense=Pres|VerbForm=Fin"
"66","VI_012_562",651,1,"alright I Ill set an alarm for down here and then we gotta go back upstairs okay Henry","displaced","displaced","VerbForm=Fin"
"67","TD_444_402",192,1,"I dont think that I think Moms gonna work like a half day in the morning so any time in the afternoon will","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"68","VI_013_206",1649,1,"so are you planning on going to Laurenberg","displaced","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"69","VI_013_206",1468,1,"I go Wednesday","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
"70","TD_444_402",141,1,"I think theyd be too big on her","present","displaced","Mood=Ind|Tense=Pres|VerbForm=Fin"
