"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","temporality"
"1","TD_465_541",120,1,"open the door to somebody when the mom was gone","1","open","open","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,NA,"uncategorized"
"2","VI_047_440",444,1,"I even signed this yesterday","3","signed","sign","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"3","VI_047_440",305,1,"whos this old guy","1","whos","who","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"4","TD_443_341",672,1,"you know","2","know","know","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"5","TD_449_716",307,1,"Mommy will close this for you there you go","2","will","will","AUX","MD","VerbForm=Fin","3","aux",NA,NA,"displaced"
"6","TD_467_433",544,1,"were not going down there right now","1","were","be","AUX","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","3","aux",NA,NA,"displaced"
"7","VI_047_440",456,1,"there you go xxx","3","go","go","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"8","VI_037_868",248,1,"yep you put things on your head","3","put","put","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,NA,"displaced"
"9","TD_436_678",2103,1,"=cries","2","cries","cry","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n","present"
"10","TD_467_433",586,1,"can you just please just lay still for a second","1","can","can","AUX","MD","VerbForm=Fin","6","aux",NA,NA,"displaced"
"11","TD_445_217",2478,1,"why are we go","2","are","be","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","4","aux",NA,NA,"present"
"12","TD_443_341",1176,1,"Mama does Landen xxx","2","does","do","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","3","aux",NA,NA,"present"
"13","TD_474_966",377,1,"what is that","2","is","be","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"14","VI_015_195",269,1,"her being well you might not be that blind but pretty close","2","being","be","AUX","VBG","VerbForm=Ger","9","cop",NA,NA,"present"
"15","VI_015_195",537,1,"shes growing like a weed","2","growing","grow","VERB","VBG","VerbForm=Ger","1","acl",NA,NA,"present"
"16","VI_033_820",1222,1,"bakerAker places the banana bread in a box and adds a purple ribbon","2","places","place","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"17","TD_473_844",306,1,"oh its easy","3","s","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","4","cop",NA,NA,"present"
"18","VI_014_242",344,1,"I promise this is the last time","2","promise","promise","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,NA,"present"
"19","VI_013_206",714,1,"okay Dad which color do you want","5","do","do","AUX","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","7","aux",NA,NA,"present"
